Key,File,Type,UsedInMainMenu,NoTranslate,english
perkSweetToothRank2Desc,progression,perk Int,,,"Make Atom Junkies, Covert Cats and Oh Shit Drops\nBonus: Adds 4% more to Lootstage (8% Total)\n"
perkSweetToothRank2LongDesc,progression,perk Int,,,"Make Atom Junkies, Covert Cats and Oh Shit Drops\nBonus: Adds 4% more to Lootstage (8% Total)\n"
perkSweetToothRank3Desc,progression,perk Int,,,"Make Skull Crushers, Nerd Tats and Health Bars\nBonus: Adds 2% more to Lootstage (10% Total)\n"
perkSweetToothRank3LongDesc,progression,perk Int,,,"Make Skull Crushers, Nerd Tats and Health Bars\nBonus: Adds 2% more to Lootstage (10% Total)\n"
perkSweetToothRank4Desc,progression,perk Int,,,"Make Jail Breakers, Eye Kandy and Mega Crush Drinks\nBonus: Adds 2% more to Lootstage (12% Total)\n"
perkSweetToothRank4LongDesc,progression,perk Int,,,"Make Jail Breakers, Eye Kandy and Mega Crush Drinks\nBonus: Adds 2% more to Lootstage (12% Total)\n"
perkProductionLineDesc,progression,perk Int,,,Using your noggin' - refine your production line processes\n and save 20% or more by crafting resource bundles.\n
perkProductionLineName,progression,perk Int,,,Production Line
perkProductionLineRank1Desc,progression,perk Int,,,Save 20% on bundles of Glue(10).\nSave 20% on packs of Wooden blocks(100).\nSave 20% on packs of Cobblestone blocks(50).
perkProductionLineRank1LongDesc,progression,perk Int,,,Save 20% on bundles of Glue(10).\nSave 20% on packs of Wooden blocks(100).\nSave 20% on packs of Cobblestone blocks(50).
perkProductionLineRank2Desc,progression,perk Int,,,Save 20% on bundles of Duct Tape(10).\nSave 20% on packs of Concrete blocks(50).\nSave 30% on large packs of Cobblestone blocks(100).
perkProductionLineRank2LongDesc,progression,perk Int,,,Save 20% on bundles of Duct Tape(10).\nSave 20% on packs of Concrete blocks(50).\nSave 30% on large packs of Cobblestone blocks(100).
perkProductionLineRank3Desc,progression,perk Int,,,Save 20% on packs of Steel blocks(50).\nSave 30% on large packs of Duct Tape(50) & Glue(30).\nSave 30% on large packs of Concrete Blocks(100).
perkProductionLineRank3LongDesc,progression,perk Int,,,Save 20% on packs of Steel blocks(50).\nSave 30% on large packs of Duct Tape(50) & Glue(30).\nSave 30% on large packs of Concrete Blocks(100).
perkProductionLineRank4Desc,progression,perk Int,,,Save 30% on large packs of Steel Blocks(100).\nSave 30% on packs of Molotovs & Grenades(20).\nSave 50% on large packs of Fuel(10000).
perkProductionLineRank4LongDesc,progression,perk Int,,,Save 30% on large packs of Steel Blocks(100).\nSave 30% on packs of Molotovs & Grenades(20).\nSave 50% on large packs of Fuel(10000).
ammoGasCanBundleChanged,items,Item,,,Stack of Gas Cans (10000)
ammoGasCanBundleChangedDesc,items,Item,,,This is a compact stack of 10000 gas cans. Use this item to open and unpack it.
resourceGlueBundleChanged,items,Item,,,Stack of Glue (10)
resourceGlueBundleChangedDesc,items,Item,,,This is a compact stack of 10 glue. Use this item to open and unpack it.
resourceGlueBundleLargeChanged,items,Item,,,Stack of Glue (30)
resourceGlueBundleLargeChangedDesc,items,Item,,,This is a compact stack of 30 glue. Use this item to open and unpack it.
resourceDuctTapeBundleChanged,items,Item,,,Stack of Duct Tape (10)
resourceDuctTapeBundleChangedDesc,items,Item,,,This is a compact stack of 10 duct tape. Use this item to open and unpack it.
resourceDuctTapeBundleLargeChanged,items,Item,,,Large stack of Duct Tape (50)
resourceDuctTapeBundleLargeChangedDesc,items,Item,,,This is a compact stack of 50 duct tape. Use this item to open and unpack it.
resourceWoodBlockBundle,items,Item,,,Stack of Wood Blocks (100).
resourceWoodBlockBundleDesc,items,Item,,,This is a compact stack of 100 Wood Blocks. Use this item to open and unpack it.
thrownAmmoMolotovCocktailBundle,items,Item,,,Stack of Molotov Cocktails (20).
thrownAmmoMolotovCocktailBundleDesc,items,Item,,,This is a compact stack of 20 Molotov Cocktails. Use this item to open and unpack it.
thrownGrenadeBundle,items,Item,,,Stack of Grenades (20).
thrownGrenadeBundleDesc,items,Item,,,This is a compact stack of 20 Grenades. Use this item to open and unpack it.
thrownGrenadeContactBundle,items,Item,,,Stack of Contact Grenades (20).
thrownGrenadeContactBundleDesc,items,Item,,,This is a compact stack of 20 Contact Grenades. Use this item to open and unpack it.
cobblestoneShapesBundleChanged,items,Item,,,Stack of 50 Cobblestone Blocks
cobblestoneShapesBundleChangedDesc,items,Item,,,This is a compact stack of 50 Cobblestone Blocks. Use this item to open and unpack it.
concreteShapesBundleChanged,items,Item,,,Stack of 50 Concrete Blocks
concreteShapesBundleChangedDesc,items,Item,,,This is a compact stack of 50 Concrete Blocks. Use this item to open and unpack it.
steelShapesBundleChanged,items,Item,,,Stack of 50 Steel Blocks
steelShapesBundleChangedDesc,items,Item,,,This is a compact stack of 50 Steel Blocks. Use this item to open and unpack it.
cobblestoneShapesBundleLargeChanged,items,Item,,,Stack of 100 Cobblestone Blocks
cobblestoneShapesBundleLargeChangedDesc,items,Item,,,This is a compact stack of 100 Cobblestone Blocks. Use this item to open and unpack it.
concreteShapesBundleLargeChanged,items,Item,,,Stack of 100 Concrete Blocks
concreteShapesBundleLargeChangedDesc,items,Item,,,This is a compact stack of 100 Concrete Blocks. Use this item to open and unpack it.
steelShapesBundleLargeChanged,items,Item,,,Stack of 100 Steel Blocks
steelShapesBundleLargeChangedDesc,items,Item,,,This is a compact stack of 100 Steel Blocks. Use this item to open and unpack it.
scrap762AmmoBundle,items,Item,,,Stack of 50 scrapped 7.62 ammo.
scrap762AmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped 7.62 ammo.\nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrap762HPAmmoBundle,items,Item,,,Stack of 50 scrapped 7.62 HP ammo.
scrap762HPAmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped 7.62 HP ammo. \nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrap762APAmmoBundle,items,Item,,,Stack of 50 scrapped 7.62 AP ammo.
scrap762APAmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped 7.62 AP ammo. \nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrap9mmAmmoBundle,items,Item,,,Stack of 50 scrapped 9mm ammo.
scrap9mmAmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped 9mm ammo. \nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrap9mmHPAmmoBundle,items,Item,,,Stack of 50 scrapped 9mm HP ammo.
scrap9mmHPAmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped 9mm HP ammo. \nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrap9mmAPAmmoBundle,items,Item,,,Stack of 50 scrapped 9mm AP ammo.
scrap9mmAPAmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped 9mm AP ammo. \nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrap44AmmoBundle,items,Item,,,Stack of 50 scrapped 44 Magnum ammo.
scrap44AmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped 44 Magnum ammo. \nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrap44HPAmmoBundle,items,Item,,,Stack of 50 scrapped 44 Magnum HP ammo.
scrap44HPAmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped 44 Magnum HP ammo. \nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrap44APAmmoBundle,items,Item,,,Stack of 50 scrapped 44 Magnum AP ammo.
scrap44APAmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped 44 Magnum AP ammo. \nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrapShotgunAmmoBundle,items,Item,,,Stack of 50 scrapped Shotgun ammo.
scrapShotgunAmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped Shotgun ammo. \nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrapShotgunBreachingAmmoBundle,items,Item,,,Stack of 50 scrapped Shotgun Breaching ammo.
scrapShotgunBreachingAmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped Shotgun Breaching ammo. \nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrapShotgunSlugAmmoBundle,items,Item,,,Stack of 50 scrapped Shotgun Slug ammo.
scrapShotgunSlugAmmoBundleDesc,items,Item,,,This is a compact stack of 50 scrapped Shotgun Slug ammo. \nCreate this bundle using ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrapMolotovCocktailBundle,items,Item,,,Stack of 5 scrapped Molotov Cocktails.
scrapMolotovCocktailBundleDesc,items,Item,,,This is a compact stack of 5 Molotov Cocktails.\nCreate this bundle using Molotov Cocktails to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrapPipeBombBundle,items,Item,,,Stack of 5 scrapped Pipe Bombs.
scrapPipeBombBundleDesc,items,Item,,,This is a compact stack of 5 Pipe Bombs.\nCreate this bundle using Pipe Bombs to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrapthrownGrenadeBundle,items,Item,,,Stack of 5 scrapped Grenades.
scrapthrownGrenadeBundleDesc,items,Item,,,This is a compact stack of 5 Grenades.\nCreate this bundle using Grenades to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrapthrownGrenadeContactBundle,items,Item,,,Stack of 5 scrapped Contact Grenades.
scrapthrownGrenadeContactBundleDesc,items,Item,,,This is a compact stack of 5 Contact Grenades.\nCreate this bundle using Contact Grenades to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it.
scrapTimedChargesBundle,items,Item,,,Stack of 5 scrapped Timed Charges.
scrapTimedChargesBundleDesc,items,Item,,,This is a compact stack of 5 Times Charges.\nCreate this bundle using Timed Charges to be scrapped.\nReturns 80% of materials.\nUse this item to open and unpack it.
scrapTurretAmmoBundle,items,Item,,,Stack of 100 scrapped Junk Turret Ammo.
scrapTurretAmmoBundleDesc,items,Item,,,"This is a compact stack of 100 scrapped Junk Turret Ammo.\nCreate this bundle using Junk Turret Ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it."
scrapAPTurretAmmoBundle,items,Item,,,Stack of 100 scrapped AP Junk Turret Ammo.
scrapAPTurretAmmoBundleDesc"This is a compact stack of 100 scrapped AP Junk Turret Ammo.\nCreate this bundle using AP Junk Turret Ammo to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it."
scrapShellTurretAmmoBundle,items,Item,,,Stack of 100 scrapped Junk Turret Shells.
scrapShellTurretAmmoBundleDesc"This is a compact stack of 100 scrapped Junk Turret Shells.\nCreate this bundle using Junk Turret Shells to be scrapped.\nReturns 75% of materials.\nUse this item to open and unpack it."
bulletCasingBundle,items,Item,,,Box of 1000 Bullet Casings
bulletCasingBundleDesc,items,Item,,,Box of 1000 Bullet Casings. \nUse this item to open and unpack it.
bulletTipBundle,items,Item,,,Box of 1000 Bullet Tips
bulletTipBundleDesc,items,Item,,,Box of 1000 Bullet Tips. \nUse this item to open and unpack it.
buckshotBundle,items,Item,,,Box of 1000 Buckshot
buckshotBundleDesc,items,Item,,,Box of 1000 Buckshot. \nUse this item to open and unpack it.
9mmBundlebox,items,Item,,,Box of 100 9mm Ammo 
9mmBundleboxDesc,items,Item,,,Box of 100 9mm Ammo. \nUse this item to open and unpack it.
9mmBundleboxAP,items,Item,,,Box of 100 9mm AP Ammo
9mmBundleboxAPDesc,items,Item,,,Box of 100 9mm AP Ammo. \nUse this item to open and unpack it.
9mmBundleboxHP,items,Item,,,Box of 100 9mm HP Ammo.
9mmBundleboxHPDesc,items,Item,,,Box of 100 9mm HP Ammo. \nUse this item to open and unpack it.
44Bundlebox,items,Item,,,Box of 100 .44 Ammo
44BundleboxDesc,items,Item,,,Box of 100 .44 Ammo. \nUse this item to open and unpack it.
44BundleboxAP,items,Item,,,Box of 100 .44 AP Ammo
44BundleboxAPDesc,items,Item,,,Box of 100 .44 AP Ammo. \nUse this item to open and unpack it.
44BundleboxHP,items,Item,,,Box of 100 .44 HP Ammo.
44BundleboxHPDesc,items,Item,,,Box of 100 .44 HP Ammo. \nUse this item to open and unpack it.
762Bundlebox,items,Item,,,Box of 150 7.62 Ammo.
762BundleboxDesc,items,Item,,,Box of 150 7.62 Ammo. \nUse this item to open and unpack it.
762BundleboxAP,items,Item,,,Box of 150 7.62 AP Ammo
762BundleboxAPDesc,items,Item,,,Box of 150 7.62 AP Ammo. \nUse this item to open and unpack it.
762BundleboxHP,items,Item,,,Box of 150 7.62 HP Ammo
762BundleboxHPDesc,items,Item,,,Box of 150 7.62 HP Ammo. \nUse this item to open and unpack it.
ShotgunBundlebox,items,Item,,,Box of 150 Shotgun Shells
ShotgunBundleboxDesc,items,Item,,,Box of 150 Shotgun Shells. \nUse this item to open and unpack it.
ShotgunBundleboxSlug,items,Item,,,Box of 150 Shotgun Slugs
ShotgunBundleboxSlugDesc,items,Item,,,Box of 150 Shotgun Slugs. \nUse this item to open and unpack it.
ShotgunBundleboxBreaching,items,Item,,,Box of 150 Shotgun Breaching Slugs
ShotgunBundleboxBreachingDesc,items,Item,,,Box of 150 Shotgun Breaching Slugs. \nUse this item to open and unpack it.
xuiSelectChallengeInfo,UI,XUI,,,"Select a challenge to view or track the requirements.\n\nTrack a challenge by pressing the Track button or by using the quick action key.\n\nAfter successfully completing every challenge within a group, select each completed challenge marked [00FF00]GREEN[-]. Redeem a challenge by using the button or the quick action key.\n\nRedeeming all of the challenges in each group will give you a couple of rewards."
challengeGathererPreciousDesc,Challenges,Challenge,,,"Reading [DECEA3]Art of Mining Vol 1[-] allows you to harvest [DECEA3]Gold Nuggets[-], [DECEA3]Silver Nuggets[-], and [DECEA3]Raw Diamonds[-] from [DECEA3]Ores[-].\n\nThese [DECEA3]Precious Elements[-] are mainly used in special Grandpa brew recipes.\n\nHarvest some [DECEA3]Precious Elements[-]."
challengeReadMagazinesDesc,Challenges,Challenge,,,"[DECEA3]Crafting Skill Magazines[-] come in a wide range of topics. Reading them will increase your [DECEA3]Crafting Skill[-] which increases the [DECEA3]Quality[-] and/or [DECEA3]Technology Tier[-] of the item being crafted. You can track your [DECEA3]Crafting Skill[-] progression in the [DECEA3]Skills Window[-] and selecting the [DECEA3]Hammer[-] icon in the category header.\n\n[DECEA3]Crafting Skill Magazines[-] can be found in various loot containers such as [DECEA3]Mailboxes[-], [DECEA3]Crates[-] and [DECEA3]Safes[-]."
challengeRewardBonusTraderQuest,Challenges,Challenge Group Reward,,,Start Quest
challengeRewardBonusTradersReward,Challenges,Reward,,,Challenge Group Reward
challengeMeetBob,Challenges,Challenge,,,Scout a Desert Trader
challengeMeetBobDesc,Challenges,Challenge,,,"Scout a [DECEA3]Trader[-] in the [DECEA3]Desert[-]. Observe and note their specialty. See if you can tell how close they are to the Duke and his men."
challengeMeetBobShort,Challenges,Challenge,,,Scout a Trader in the Desert Biome.
challengeMeetHugh,Challenges,Challenge,,,Scout Snow Trader 
challengeMeetHughDesc,Challenges,Challenge,,,"Scout a [DECEA3]Trader[-] in the [DECEA3]Snow[-]. Observe and note their specialty. See if you can tell how close they are to the Duke and his men."
challengeMeetHughShort,Challenges,Challenge,,,Scout a Trader in the Snow Biome.
challengeMeetJen,Challenges,Challenge,,,Scout Burnt Forest Trader
challengeMeetJenDesc,Challenges,Challenge,,,"Scout a [DECEA3]Trader[-] in the [DECEA3]Burnt Forest[-]. Observe and note their specialty. See if you can tell how close they are to the Duke and his men."
challengeMeetJenShort,Challenges,Challenge,,,Scout a Trader in the Burnt Forest Biome.
challengeMeetJoel,Challenges,Challenge,,,Scout Wasteland Trader
challengeMeetJoelDesc,Challenges,Challenge,,,"Scout a [DECEA3]Trader[-] in the [DECEA3]Wasteland[-]. Observe and note their specialty. See if you can tell how close they are to the Duke and his men."
challengeMeetJoelShort,Challenges,Challenge,,,Scout a Trader in the Wasteland Biome.
challengeMeetRekt,Challenges,Challenge,,,Scout Forest Trader 
challengeMeetRektDesc,Challenges,Challenge,,,"Scout a [DECEA3]Trader[-] in the [DECEA3]Forest[-]. Observe and note their specialty. See if you can tell how close they are to the Duke and his men."
challengeMeetRektShort,Challenges,Challenge,,,Scout a Trader in the Forest Biome.
challengePurchaseItemsJoel,Challenges,Challenge,,,Buy 5 items from Vending Machines
challengePurchaseItemsJoelDesc,Challenges,Challenge,,,"[DECEA3]Vending Machines[-] have a stock of [DECEA3]Food[-] and [DECEA3]Drink[-] available for purchase with casino coins. [DECEA3]Vending Machines[-] dont restock, they only have what they spawn with." 
challengePurchaseItemsJoelShort,Challenges,Challenge,,,Buy 5 items from any Vending Machine.
challengeSellItemsJoel,Challenges,Challenge,,,Buy 15 items from Vending Machines
challengeSellItemsJoelDesc,Challenges,Challenge,,,"[DECEA3]Vending Machines[-] have a stock of [DECEA3]Food[-] and [DECEA3]Drink[-] available for purchase with casino coins. [DECEA3]Vending Machines[-] dont restock, they only have what they spawn with." 
challengeSellItemsJoelShort,Challenges,Challenge,,,Buy 15 items from any Vending Machine.
challengeQuestComplete,Challenges,Challenge,,,Buy 25 items from Vending Machines
challengeQuestCompleteDesc,Challenges,Challenge,,,"[DECEA3]Vending Machines[-] have a stock of [DECEA3]Food[-] and [DECEA3]Drink[-] available for purchase with casino coins. [DECEA3]Vending Machines[-] dont restock, they only have what they spawn with." 
challengeQuestCompleteShort,Challenges,Challenge,,,Buy 25 items from any Vending Machine.
challengeQuestTierComplete,Challenges,Challenge,,,Craft 5 Herbal Antibiotics.
challengeQuestTierCompleteDesc,Challenges,Challenge,,,"[DECEA3]Herbal Antibiotics[-] can be found in a variety of loot containers. Good for reducing infections by 10%! Craft 5 [DECEA3]Herbal Antibiotics[-]."
challengeQuestTierCompleteShort,Challenges,Challenge,,,Craft 5 Herbal Antibiotics.
challengeQuestTraderToTraderComplete,Challenges,Challenge,,,Craft 5 Medical Kits.
challengeQuestTraderToTraderCompleteDesc,Challenges,Challenge,,,"[DECEA3]Medical Kits[-] stop bleeding, heal wounds, increase abrasion healing speed and suture lacerations. Craft 5 [DECEA3]Medical Kits[-]."
challengeQuestTraderToTraderCompleteShort,Challenges,Challenge,,,Craft 5 Medical Kits.
challengeGroupTradersQuests,Challenges,Challenge Group,,,Traders / Vending Machines / Medical 
groupChallengeRewardBasicBundle,items,item,,,Challenge Reward Bundle
groupChallengeRewardBasicBundleDesc,item,item,,,Challenge Reward Bundle.\nOpen for random bundle of Magazines, Schematics or Perk Books.
challengeRewardPerkBookBundle,items,Reward,,,Reward Books Bundle
challengeRewardPerkBookBundleDesc,items,Reward,,,Challenge Reward. \nRandom Books Bundle : Perk Books 
challengeRewardSchematicBundle,items,Reward,,,Reward Schematics Bundle
challengeRewardSchematicBundleDesc,items,Reward,,,Challenge Reward. \nRandom Books Bundle : Schematics
challengeRewardSkillMagBundle,items,Reward,,,Reward Skill Magazine Bundle
challengeRewardSkillMagBundleDesc,items,Reward,,,Challenge Reward.\nRandom Books Bundle : Skill Magazines
groupChallengeRewardBasicAmmoBundle,items,Reward,,,Reward Ammo Bundle
groupChallengeRewardBasicAmmoBundleDesc,items,Reward,,,Challenge Group Reward.\nRandom Ammo Stack
groupChallengeRewardAPAmmoBundle,items,Reward,,,Reward AP Ammo Bundle
groupChallengeRewardAPAmmoBundleDesc,items,Reward,,,Challenge Group Reward.\nRandom AP Ammo Stack
challengeRewardBasicAmmoBundle,items,Reward,,,Reward Ammo Bundle
challengeRewardBasicAmmoBundleDesc,items,Reward,,,Challenge Group Reward.\nRandom Ammo Stack
challengeRewardAPAmmoBundle,items,Reward,,,Reward AP Ammo Bundle
challengeRewardAPAmmoBundleDesc,items,Reward,,,Challenge Group Reward.\nRandom AP Ammo Stack
challengeRewardThrownAmmoBundle,items,Reward,,,Reward Explosives Bundle
